genes	Goterms	Annotation GO Category
A0A1H6PVP1	intracellular protein transport	Biological Process
A0A1H6PVP1	endomembrane system	Cellular Component
A0A1H6PVP1	Rab GTPase binding	Molecular Function
A0A1H6PVP1	regulation of vesicle fusion	Biological Process
A0A1H6PVP1	activation of GTPase activity	Biological Process
A0A1D8N7G8		
A0A1H6PSX8	integral component of membrane	Cellular Component
A0A1H6PSX8	hydrolase activity	Molecular Function
A0A1D8N655		
A0A1D8N992		
A0A1D8NPT6		
A0A1D8N470		
A0A1H6QB80	structural constituent of ribosome	Molecular Function
A0A1H6QB80	mitochondrial small ribosomal subunit	Cellular Component
A0A1H6QB80	mitochondrial translation	Biological Process
A0A1D8NIC5	vacuole inheritance	Biological Process
A0A1D8NIC5	fungal-type vacuole membrane	Cellular Component
A0A1D8NIC5	nucleus	Cellular Component
A0A1D8NIC5	integral component of membrane	Cellular Component
A0A1D8NIC5	macroautophagy	Biological Process
A0A1D8NIC5	"vacuole fusion, non-autophagic"	Biological Process
A0A1D8NIC5	identical protein binding	Molecular Function
A0A1D8NIC5	protein membrane anchor	Molecular Function
A0A1D8NIC5	membrane raft	Cellular Component
A0A1D8NIC5	Cvt vesicle assembly	Biological Process
A0A1D8NIC5	nucleus-vacuole junction	Cellular Component
A0A1D8NIC5	nucleus-vacuole junction assembly	Biological Process
A0A1D8NIC5	Myo2p-Vac17p-Vac8p transport complex	Cellular Component
A0A1D8NIC5	protein localization to membrane raft	Biological Process
A0A1D8NDT6	nucleic acid binding	Molecular Function
A0A1D8NE80		
A0A1D8NJR8		
A0A1D8NCH5	ATPase activator activity	Molecular Function
A0A1D8NCH5	soluble NSF attachment protein activity	Molecular Function
A0A1D8NCH5	vacuolar membrane	Cellular Component
A0A1D8NCH5	cytosol	Cellular Component
A0A1D8NCH5	intracellular protein transport	Biological Process
A0A1D8NCH5	autophagy	Biological Process
A0A1D8NCH5	extrinsic component of membrane	Cellular Component
A0A1D8NCH5	syntaxin binding	Molecular Function
A0A1D8NCH5	SNARE complex	Cellular Component
A0A1D8NCH5	positive regulation of ATPase activity	Biological Process
A0A1D8NCH5	SNARE complex disassembly	Biological Process
A0A1D8NCH5	"vacuole fusion, non-autophagic"	Biological Process
A0A1D8NCH5	vesicle fusion with Golgi apparatus	Biological Process
A0A1D8NEC5	attachment of GPI anchor to protein	Biological Process
A0A1D8NEC5	GPI-anchor transamidase complex	Cellular Component
A0A1D8N793	Y-form DNA binding	Molecular Function
A0A1D8N793	heteroduplex DNA loop binding	Molecular Function
A0A1D8N793	double-strand/single-strand DNA junction binding	Molecular Function
A0A1D8N793	damaged DNA binding	Molecular Function
A0A1D8N793	ATP binding	Molecular Function
A0A1D8N793	mitochondrion	Cellular Component
A0A1D8N793	mismatch repair	Biological Process
A0A1D8N793	DNA-dependent ATPase activity	Molecular Function
A0A1D8N793	guanine/thymine mispair binding	Molecular Function
A0A1D8N793	dinucleotide insertion or deletion binding	Molecular Function
A0A1D8N793	MutSbeta complex	Cellular Component
A0A1D8N793	mitochondrial DNA repair	Biological Process
A0A1D8N793	maintenance of DNA repeat elements	Biological Process
A0A1H6PPR8		
A0A1D8N3K3		
A0A1D8NEF6	integral component of membrane	Cellular Component
A0A1D8NJH3	endoplasmic reticulum	Cellular Component
A0A1D8NJH3	membrane part	Cellular Component
A0A1D8NAG5		
A0A1D8N9X6	arylformamidase activity	Molecular Function
A0A1D8N9X6	catabolic process	Biological Process
A0A1D8N9X6	NAD biosynthetic process	Biological Process
A0A1D8NI45	endoplasmic reticulum membrane	Cellular Component
A0A1D8NI45	GPI anchor biosynthetic process	Biological Process
A0A1D8NI45	integral component of membrane	Cellular Component
A0A1D8NI45	mannose-ethanolamine phosphotransferase activity	Molecular Function
A0A1D8NEG2	signal transduction	Biological Process
A0A1H6QAC0	autophagy of mitochondrion	Biological Process
A0A1H6QAC0	integral component of mitochondrial outer membrane	Cellular Component
A0A1D8NQ93	6-phosphofructo-2-kinase activity	Molecular Function
A0A1D8NQ93	ATP binding	Molecular Function
A0A1D8NQ93	fructose metabolic process	Biological Process
A0A1D8NQ93	"fructose 2,6-bisphosphate metabolic process"	Biological Process
A0A1D8NQ93	carbohydrate phosphorylation	Biological Process
A0A1D8N4H0	double-strand break repair via homologous recombination	Biological Process
A0A1D8N4H0	zinc ion binding	Molecular Function
A0A1D8N4H0	protein sumoylation	Biological Process
A0A1D8N4H0	SUMO transferase activity	Molecular Function
A0A1D8N4H0	Smc5-Smc6 complex	Cellular Component
A0A1H6PTL3	ATP binding	Molecular Function
A0A1H6PTL3	protein folding	Biological Process
A0A1H6PTL3	proteasomal protein catabolic process	Biological Process
A0A1D8NC56	nucleotide binding	Molecular Function
A0A1D8NC56	DNA binding	Molecular Function
A0A1D8NC56	DNA-directed DNA polymerase activity	Molecular Function
A0A1D8NC56	nucleus	Cellular Component
A0A1D8NC56	DNA replication	Biological Process
A0A1D8NC56	zeta DNA polymerase complex	Cellular Component
A0A1D8NC56	error-prone translesion synthesis	Biological Process
A0A1D8NC56	metal ion binding	Molecular Function
A0A1D8NC56	"4 iron, 4 sulfur cluster binding"	Molecular Function
A0A1H6PQS3		
A0A1D8N7X9	catalytic activity	Molecular Function
A0A1H6PI38	translation elongation factor activity	Molecular Function
A0A1H6PI38	glutathione transferase activity	Molecular Function
A0A1H6PI38	guanyl-nucleotide exchange factor activity	Molecular Function
A0A1H6PI38	nucleus	Cellular Component
A0A1H6PI38	ribosome	Cellular Component
A0A1H6PI38	translational elongation	Biological Process
A0A1H6PI38	glutathione metabolic process	Biological Process
A0A1H6PI38	cytoplasmic stress granule	Cellular Component
A0A1H6PN48	integral component of plasma membrane	Cellular Component
A0A1H6PN48	siderophore transmembrane transporter activity	Molecular Function
A0A1H6PN48	iron assimilation by chelation and transport	Biological Process
A0A1H6PN48	siderophore transmembrane transport	Biological Process
A0A1H6PT43	nucleotide-excision repair factor 3 complex	Cellular Component
A0A1H6PT43	transcription factor TFIIH core complex	Cellular Component
A0A1H6PT43	"nucleotide-excision repair, DNA duplex unwinding"	Biological Process
A0A1H6PT43	ATPase activator activity	Molecular Function
A0A1H6PT43	double-stranded DNA binding	Molecular Function
A0A1H6PT43	DNA-binding transcription factor activity	Molecular Function
A0A1H6PT43	transcription factor TFIIH holo complex	Cellular Component
A0A1H6PT43	transcription initiation from RNA polymerase II promoter	Biological Process
A0A1H6PT43	RNA polymerase II CTD heptapeptide repeat kinase activity	Molecular Function
A0A1H6PT43	RNA polymerase II general transcription initiation factor activity	Molecular Function
A0A1H6PT43	positive regulation of ATPase activity	Biological Process
A0A1H6PT43	phosphorylation of RNA polymerase II C-terminal domain	Biological Process
A0A1D8NK21	nucleic acid binding	Molecular Function
A0A1D8N721		
A0A1D8NPU8	maturation of LSU-rRNA	Biological Process
A0A1D8NPU8	RNA binding	Molecular Function
A0A1D8NPU8	translation	Biological Process
A0A1D8NPU8	cytosolic large ribosomal subunit	Cellular Component
A0A1D8NPV9	pyruvate metabolic process	Biological Process
A0A1D8NPV9	methylglyoxal metabolic process	Biological Process
A0A1D8NPV9	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	Molecular Function
A0A1D8NPV9	coenzyme binding	Molecular Function
A0A1D8NPV9	fungal biofilm matrix	Cellular Component
A0A1H6PZA3	transcription factor TFIIH core complex	Cellular Component
A0A1H6PZA3	transcription factor TFIIH holo complex	Cellular Component
A0A1H6PZA3	cytosol	Cellular Component
A0A1H6PZA3	nucleotide-excision repair	Biological Process
A0A1H6PZA3	phosphorylation of RNA polymerase II C-terminal domain	Biological Process
A0A1D8NAH1	iron ion binding	Molecular Function
A0A1D8NAH1	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	Molecular Function
A0A1D8NAH1	heme binding	Molecular Function
A0A1D8NAH1	oxidation-reduction process	Biological Process
A0A1D8N6K8	catalytic activity	Molecular Function
A0A1D8N6K8	metabolic process	Biological Process
A0A1D8N8B9		
A0A1D8NPM6		
A0A1H6PT86		
A0A1D8NHH4	GTPase activator activity	Molecular Function
A0A1D8NHH4	cytoplasm	Cellular Component
A0A1D8NHH4	signal transduction	Biological Process
A0A1D8NHH4	phosphatidylinositol binding	Molecular Function
A0A1D8NHH4	positive regulation of GTPase activity	Biological Process
A0A1D8N949	G1/S transition of mitotic cell cycle	Biological Process
A0A1D8N949	protein serine/threonine kinase activity	Molecular Function
A0A1D8N949	ATP binding	Molecular Function
A0A1D8N949	nucleus	Cellular Component
A0A1D8N949	mitochondrion	Cellular Component
A0A1D8N949	protein phosphorylation	Biological Process
A0A1D8N949	protein dephosphorylation	Biological Process
A0A1D8N949	protein lipoylation	Biological Process
A0A1D8N949	cellular cation homeostasis	Biological Process
A0A1D8N949	cellular protein localization	Biological Process
A0A1D8N949	intracellular signal transduction	Biological Process
A0A1D8N949	regulation of iron-sulfur cluster assembly	Biological Process
A0A1D8N9A7		
A0A1D8NCY1	integral component of membrane	Cellular Component
A0A1D8NEY9		
A0A1D8NAQ9		
A0A1D8NEM0		
A0A1D8NP17		
A0A1D8N7T9	protein peptidyl-prolyl isomerization	Biological Process
A0A1D8N7T9	peptidyl-prolyl cis-trans isomerase activity	Molecular Function
A0A1D8N3U4	cytoplasm	Cellular Component
A0A1D8N3U4	SCF ubiquitin ligase complex	Cellular Component
A0A1D8N3U4	regulation of proteolysis	Biological Process
A0A1D8N3U4	ubiquitin protein ligase binding	Molecular Function
A0A1D8N3U4	proteasome-mediated ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8NDS0	extracellular region	Cellular Component
A0A1D8NDS0	membrane	Cellular Component
A0A1D8NGP3		
A0A1D8N3G4		
A0A1D8NAH2	potassium ion transmembrane transporter activity	Molecular Function
A0A1D8NAH2	integral component of membrane	Cellular Component
A0A1D8NAH2	potassium ion transmembrane transport	Biological Process
A0A1D8NEI3		
A0A1D8NKN4	GTPase activity	Molecular Function
A0A1D8NKN4	GTP binding	Molecular Function
A0A1D8NKN4	cytosol	Cellular Component
A0A1D8NKN4	small GTPase mediated signal transduction	Biological Process
A0A1D8NKN4	lysine transport	Biological Process
A0A1D8NKN4	GDP binding	Molecular Function
A0A1D8NKN4	extrinsic component of plasma membrane	Cellular Component
A0A1D8NKN4	"retrograde transport, endosome to Golgi"	Biological Process
A0A1D8NKN4	mitotic G1 cell cycle arrest in response to nitrogen starvation	Biological Process
A0A1D8NKN4	positive regulation of L-arginine import across plasma membrane	Biological Process
A0A1D8N9G7	SAGA complex	Cellular Component
A0A1D8N9G7	RNA polymerase II activating transcription factor binding	Molecular Function
A0A1D8N9G7	DNA binding	Molecular Function
A0A1D8N9G7	histone acetyltransferase activity	Molecular Function
A0A1D8N9G7	transcription factor TFIID complex	Cellular Component
A0A1D8N9G7	TBP-class protein binding	Molecular Function
A0A1D8N9G7	histone H3 acetylation	Biological Process
A0A1D8N9G7	SLIK (SAGA-like) complex	Cellular Component
A0A1D8N9G7	protein heterodimerization activity	Molecular Function
A0A1D8N9G7	RNA polymerase II preinitiation complex assembly	Biological Process
A0A1H6Q3G6		
A0A1D8N6T7		
A0A1D8NE49	structural constituent of ribosome	Molecular Function
A0A1D8NE49	ribosome	Cellular Component
A0A1D8NE49	translation	Biological Process
A0A1H6QBN1	rRNA modification	Biological Process
A0A1H6QBN1	snoRNA binding	Molecular Function
A0A1H6QBN1	box C/D snoRNP complex	Cellular Component
A0A1H6QBN1	small-subunit processome	Cellular Component
A0A1D8NM13	DNA binding	Molecular Function
A0A1D8NM13	helicase activity	Molecular Function
A0A1D8NM13	ATP binding	Molecular Function
A0A1D8NM13	DNA replication initiation	Biological Process
A0A1D8NM13	cellular response to DNA damage stimulus	Biological Process
A0A1D8NM13	DNA replication preinitiation complex	Cellular Component
A0A1D8NM13	nuclear DNA replication	Biological Process
A0A1D8NM13	MCM complex	Cellular Component
A0A1D8NM13	nuclear chromosome part	Cellular Component
A0A1D8NM13	negative regulation of DNA helicase activity	Biological Process
A0A1D8NQM1	ATP binding	Molecular Function
A0A1D8NQM1	mRNA cleavage factor complex	Cellular Component
A0A1D8NQM1	mRNA polyadenylation	Biological Process
A0A1D8NQM1	mRNA cleavage	Biological Process
A0A1D8NQM1	"tRNA splicing, via endonucleolytic cleavage and ligation"	Biological Process
A0A1D8NQM1	phosphorylation	Biological Process
A0A1D8NQM1	polynucleotide 5'-hydroxyl-kinase activity	Molecular Function
A0A1H6PST5	ubiquitin-dependent protein catabolic process	Biological Process
A0A1H6PST5	protein deubiquitination	Biological Process
A0A1H6PST5	thiol-dependent ubiquitinyl hydrolase activity	Molecular Function
A0A1H6PST5	carbon catabolite repression of transcription	Biological Process
A0A1H6PYX8		
A0A1D8NAZ9		
A0A1D8NC49	"hydrolase activity, acting on ester bonds"	Molecular Function
A0A1D8NM71	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NM71	protein binding	Molecular Function
A0A1D8NM71	nucleolus	Cellular Component
A0A1D8NM71	rRNA binding	Molecular Function
A0A1D8NM71	preribosome	Cellular Component
A0A1H6PWP5	mitochondrial genome maintenance	Biological Process
A0A1H6PWP5	guanine nucleotide transmembrane transporter activity	Molecular Function
A0A1H6PWP5	mitochondrial inner membrane	Cellular Component
A0A1H6PWP5	plasma membrane	Cellular Component
A0A1H6PWP5	mitochondrial transport	Biological Process
A0A1H6PWP5	cellular iron ion homeostasis	Biological Process
A0A1H6PWP5	integral component of membrane	Cellular Component
A0A1H6PWP5	guanine nucleotide transmembrane transport	Biological Process
A0A1D8NNI4		
A0A1D8NLZ8		
A0A1D8NJ11		
A0A1D8N3I3	structural constituent of ribosome	Molecular Function
A0A1D8N3I3	mitochondrial large ribosomal subunit	Cellular Component
A0A1D8N3I3	mitochondrial translation	Biological Process
A0A1D8NBR3	S-adenosyl-L-methionine transmembrane transporter activity	Molecular Function
A0A1D8NBR3	mitochondrial inner membrane	Cellular Component
A0A1D8NBR3	mitochondrial transport	Biological Process
A0A1D8NBR3	integral component of membrane	Cellular Component
A0A1D8NBR3	S-adenosyl-L-methionine transmembrane transport	Biological Process
A0A1D8NC45		
A0A1H6PPB9	protein polyubiquitination	Biological Process
A0A1H6PPB9	intracellular	Cellular Component
A0A1H6PPB9	ubiquitin conjugating enzyme binding	Molecular Function
A0A1H6PPB9	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	Biological Process
A0A1H6PPB9	ubiquitin protein ligase activity	Molecular Function
A0A1D8N4W6	amino acid catabolic process to alcohol via Ehrlich pathway	Biological Process
A0A1D8N4W6	alcohol dehydrogenase (NAD) activity	Molecular Function
A0A1D8N4W6	mitochondrial matrix	Cellular Component
A0A1D8N4W6	ethanol metabolic process	Biological Process
A0A1D8N4W6	NADH oxidation	Biological Process
A0A1D8N4W6	zinc ion binding	Molecular Function
A0A1D8N726		
A0A1H6PSG0	nucleus	Cellular Component
A0A1H6PHV9	ATP binding	Molecular Function
A0A1H6PHV9	kinase activity	Molecular Function
A0A1H6PHV9	phosphorylation	Biological Process
A0A1H6PHV9	nicotinamide nucleotide biosynthetic process	Biological Process
A0A1H6PNQ9	iron ion binding	Molecular Function
A0A1H6PNQ9	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	Molecular Function
A0A1H6PNQ9	L-ascorbic acid binding	Molecular Function
A0A1H6PNQ9	oxidation-reduction process	Biological Process
A0A1D8NMW1	cytoplasmic translation	Biological Process
A0A1D8NMW1	structural constituent of ribosome	Molecular Function
A0A1D8NMW1	mitochondrial large ribosomal subunit	Cellular Component
A0A1D8NMW1	rRNA binding	Molecular Function
A0A1D8NFX3		
A0A1H6PJR5		
A0A1D8N4G6		
A0A1D8NMW8	lipid metabolic process	Biological Process
A0A1D8NMW8	membrane	Cellular Component
A0A1D8NMW8	hydrolase activity	Molecular Function
A0A1D8NNY5		
A0A1H6PJS3	mitochondrial respiratory chain complex I	Cellular Component
A0A1H6PJS3	NADH dehydrogenase (ubiquinone) activity	Molecular Function
A0A1H6PJS3	oxidation-reduction process	Biological Process
A0A1D8NB62		
A0A1D8ND05	protein folding	Biological Process
A0A1D8ND05	heat shock protein binding	Molecular Function
A0A1D8ND05	metal ion binding	Molecular Function
A0A1D8ND05	unfolded protein binding	Molecular Function
A0A1D8N6I2		
A0A1D8NEA5	Rho GDP-dissociation inhibitor activity	Molecular Function
A0A1D8NEA5	cytoplasm	Cellular Component
A0A1D8NEA5	regulation of catalytic activity	Biological Process
A0A1D8NNI0	eisosome	Cellular Component
A0A1D8NNI0	membrane raft	Cellular Component
A0A1D8NNI0	eisosome assembly	Biological Process
A0A1H6PX47		
A0A1H6Q2I3	pyruvate dehydrogenase (acetyl-transferring) activity	Molecular Function
A0A1H6Q2I3	mitochondrial pyruvate dehydrogenase complex	Cellular Component
A0A1H6Q2I3	acetyl-CoA biosynthetic process from pyruvate	Biological Process
A0A1H6Q2I3	pseudohyphal growth	Biological Process
A0A1H6Q2I3	mitochondrial nucleoid	Cellular Component
A0A1H6Q2I3	oxidation-reduction process	Biological Process
A0A1H6QCA4	nucleotide-excision repair factor 2 complex	Cellular Component
A0A1H6QCA4	damaged DNA binding	Molecular Function
A0A1H6QCA4	single-stranded DNA binding	Molecular Function
A0A1H6QCA4	cytoplasm	Cellular Component
A0A1H6QCA4	nucleotide-excision repair	Biological Process
A0A1H6QCA4	mismatch repair	Biological Process
A0A1H6QCA4	XPC complex	Cellular Component
A0A1D8N7T4	protein serine/threonine kinase activity	Molecular Function
A0A1D8N7T4	ATP binding	Molecular Function
A0A1D8N7T4	peptidyl-serine phosphorylation	Biological Process
A0A1D8N7T4	septation initiation signaling	Biological Process
A0A1D8N7T4	medial cortex	Cellular Component
A0A1D8N7T4	negative regulation of protein homooligomerization	Biological Process
A0A1D8N7T4	Sid2-Mob1 complex	Cellular Component
A0A1D8N7T4	mitotic spindle pole body	Cellular Component
A0A1D8N7T4	mitotic cytokinesis checkpoint	Biological Process
A0A1D8N7T4	cytoplasmic sequestering of protein	Biological Process
A0A1D8N7T4	maintenance of endoplasmic reticulum location involved in endoplasmic reticulum polarization at cell division site	Biological Process
A0A1D8N7T4	"actomyosin contractile ring, intermediate layer"	Cellular Component
A0A1D8N7T4	negative regulation of protein localization to microtubule	Biological Process
A0A1D8N7T4	positive regulation of mitotic spindle elongation	Biological Process
A0A1D8N7T4	positive regulation of nuclear migration during mitotic telophase	Biological Process
A0A1D8N7T4	negative regulation of actin cytoskeleton reorganization	Biological Process
A0A1D8NJP3		
A0A1H6Q1Z5		
A0A1D8N669		
A0A1D8N7J8	cytoplasmic translation	Biological Process
A0A1D8N7J8	structural constituent of ribosome	Molecular Function
A0A1D8N7J8	translational elongation	Biological Process
A0A1D8N7J8	cytosolic large ribosomal subunit	Cellular Component
A0A1D8N7J8	protein kinase activator activity	Molecular Function
A0A1D8N7J8	activation of protein kinase activity	Biological Process
A0A1D8N7J8	identical protein binding	Molecular Function
A0A1D8N7J8	protein homooligomerization	Biological Process
A0A1D8N7J8	protein heterooligomerization	Biological Process
A0A1D8NDZ2	"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NDZ2	RNA binding	Molecular Function
A0A1D8NDZ2	ATP-dependent RNA helicase activity	Molecular Function
A0A1D8NDZ2	ATP binding	Molecular Function
A0A1D8NDZ2	nucleolus	Cellular Component
A0A1D8NDZ2	cytoplasm	Cellular Component
A0A1D8NDZ2	RNA secondary structure unwinding	Biological Process
A0A1D8NDZ2	"preribosome, large subunit precursor"	Cellular Component
A0A1D8NB07		
A0A1D8NDK6		
A0A1H6PSZ2	cytoplasmic translation	Biological Process
A0A1H6PSZ2	structural constituent of ribosome	Molecular Function
A0A1H6PSZ2	cytosolic large ribosomal subunit	Cellular Component
A0A1H6PSZ2	ribosomal large subunit biogenesis	Biological Process
A0A1H6Q3R0	cytoplasm	Cellular Component
A0A1H6Q3R0	S-adenosylmethionine-dependent methyltransferase activity	Molecular Function
A0A1H6Q3R0	methylation	Biological Process
A0A1D8N4F3		
A0A1D8N5V1		
A0A1D8N6E4		
A0A1D8N653	L-aspartate:2-oxoglutarate aminotransferase activity	Molecular Function
A0A1D8N653	mitochondrion	Cellular Component
A0A1D8N653	aspartate catabolic process	Biological Process
A0A1D8N653	biosynthetic process	Biological Process
A0A1D8N653	pyridoxal phosphate binding	Molecular Function
A0A1D8N4R3		
A0A1D8N7L9		
A0A1D8NCG6	integral component of membrane	Cellular Component
A0A1D8NCN6	integral component of membrane	Cellular Component
A0A1D8NCN6	ubiquitin binding	Molecular Function
A0A1D8NJW9		
A0A1D8NQK2		
A0A1D8N4J0		
A0A1H6PP29	catalytic activity	Molecular Function
A0A1H6PP29	inorganic phosphate transmembrane transporter activity	Molecular Function
A0A1H6PP29	polyphosphate metabolic process	Biological Process
A0A1H6PP29	sodium ion transport	Biological Process
A0A1H6PP29	phosphate ion transport	Biological Process
A0A1H6PP29	cellular amino acid biosynthetic process	Biological Process
A0A1H6PP29	aromatic amino acid family metabolic process	Biological Process
A0A1H6PP29	integral component of membrane	Cellular Component
A0A1H6PP29	anion transmembrane transport	Biological Process
A0A1D8NBL3		
A0A1H6Q865	integral component of plasma membrane	Cellular Component
A0A1H6Q865	cation transmembrane transporter activity	Molecular Function
A0A1H6Q865	L-amino acid transmembrane transporter activity	Molecular Function
A0A1H6Q865	antiporter activity	Molecular Function
A0A1H6Q865	L-alpha-amino acid transmembrane transport	Biological Process
A0A1D8NNL6	zinc ion transmembrane transporter activity	Molecular Function
A0A1D8NNL6	plasma membrane	Cellular Component
A0A1D8NNL6	integral component of membrane	Cellular Component
A0A1D8NNL6	zinc ion transmembrane transport	Biological Process
A0A1H6Q9Y7	division septum assembly	Biological Process
A0A1H6Q9Y7	division septum	Cellular Component
A0A1D8NCZ0	signal peptidase complex	Cellular Component
A0A1D8NCZ0	signal peptide processing	Biological Process
A0A1D8NCZ0	serine-type peptidase activity	Molecular Function
A0A1D8NCZ0	integral component of membrane	Cellular Component
A0A1D8NCZ0	protein targeting to ER	Biological Process
A0A1D8NDV0		
A0A1D8NAE2	"hydrolase activity, hydrolyzing O-glycosyl compounds"	Molecular Function
A0A1D8NAE2	carbohydrate metabolic process	Biological Process
A0A1D8NAE2	fungal-type cell wall	Cellular Component
A0A1D8NAE2	cell wall organization	Biological Process
A0A1D8N4H9		
A0A1D8N5D2		
A0A1D8N4D2		
A0A1H6PR82		
A0A1D8NQM8	nucleotide binding	Molecular Function
A0A1D8NQM8	age-dependent response to reactive oxygen species	Biological Process
A0A1D8NQM8	catalase activity	Molecular Function
A0A1D8NQM8	mitochondrial matrix	Cellular Component
A0A1D8NQM8	peroxisomal matrix	Cellular Component
A0A1D8NQM8	heme binding	Molecular Function
A0A1D8NQM8	response to hydrogen peroxide	Biological Process
A0A1D8NQM8	hydrogen peroxide catabolic process	Biological Process
A0A1D8NQM8	metal ion binding	Molecular Function
A0A1D8NQM8	oxidation-reduction process	Biological Process
A0A1D8NQM8	cellular oxidant detoxification	Biological Process
A0A1D8NDA0	cytoplasm	Cellular Component
A0A1D8NDA0	protein initiator methionine removal involved in protein maturation	Biological Process
A0A1D8NDA0	metal ion binding	Molecular Function
A0A1D8NDA0	metalloaminopeptidase activity	Molecular Function
A0A1D8NFM8	"mitochondrial proton-transporting ATP synthase, central stalk"	Cellular Component
A0A1D8NFM8	ATP synthesis coupled proton transport	Biological Process
A0A1D8NFM8	"proton-transporting ATP synthase activity, rotational mechanism"	Molecular Function
A0A1D8NFM8	ATP hydrolysis coupled cation transmembrane transport	Biological Process
A0A1D8NM59		
A0A1D8NDD7		
A0A1D8NBE2	"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NBE2	cytoplasmic translation	Biological Process
A0A1D8NBE2	structural constituent of ribosome	Molecular Function
A0A1D8NBE2	cytosolic large ribosomal subunit	Cellular Component
A0A1D8NBE2	"preribosome, large subunit precursor"	Cellular Component
A0A1D8NET4	damaged DNA binding	Molecular Function
A0A1D8NET4	nucleus	Cellular Component
A0A1D8NET4	nucleotide-excision repair	Biological Process
A0A1D8NET4	negative regulation of protein catabolic process	Biological Process
A0A1D8NET4	ubiquitin binding	Molecular Function
A0A1D8NET4	proteasome-mediated ubiquitin-dependent protein catabolic process	Biological Process
A0A1H6Q6Y2	ubiquitin-protein transferase activity	Molecular Function
A0A1H6Q6Y2	protein modification by small protein conjugation	Biological Process
A0A1H6Q6Y2	protein-containing complex	Cellular Component
A0A1H6Q6Y2	nuclear part	Cellular Component
A0A1H6Q6Y2	metal ion binding	Molecular Function
A0A1H6Q6Y2	biological regulation	Biological Process
A0A1H6PPE6	vesicle-mediated transport	Biological Process
A0A1H6PPE6	integral component of Golgi membrane	Cellular Component
A0A1D8N6F2	inositol-3-phosphate synthase activity	Molecular Function
A0A1D8N6F2	cytoplasm	Cellular Component
A0A1D8N6F2	inositol biosynthetic process	Biological Process
A0A1D8N6F2	phospholipid biosynthetic process	Biological Process
A0A1D8N6F2	integral component of membrane	Cellular Component
A0A1D8NA04	Golgi apparatus	Cellular Component
A0A1D8NA04	cellular metal ion homeostasis	Biological Process
A0A1D8NA04	integral component of membrane	Cellular Component
A0A1D8NQ57	"N,N-dimethylaniline monooxygenase activity"	Molecular Function
A0A1D8NQ57	flavin adenine dinucleotide binding	Molecular Function
A0A1D8NQ57	NADP binding	Molecular Function
A0A1D8NQ57	oxidation-reduction process	Biological Process
A0A1D8N7R3	ribosomal large subunit assembly	Biological Process
A0A1D8N7R3	cytoplasmic translation	Biological Process
A0A1D8N7R3	structural constituent of ribosome	Molecular Function
A0A1D8N7R3	integral component of membrane	Cellular Component
A0A1D8N7R3	cytosolic large ribosomal subunit	Cellular Component
A0A1D8N7R3	"preribosome, large subunit precursor"	Cellular Component
A0A1D8N7R3	large ribosomal subunit rRNA binding	Molecular Function
A0A1H6Q7Z4	Golgi membrane	Cellular Component
A0A1H6Q7Z4	calcium ion binding	Molecular Function
A0A1H6Q7Z4	plasma membrane	Cellular Component
A0A1H6Q7Z4	regulation of signal transduction	Biological Process
A0A1H6Q7Z4	kinase activity	Molecular Function
A0A1H6Q7Z4	calcium-mediated signaling using intracellular calcium source	Biological Process
A0A1H6Q7Z4	positive regulation of 1-phosphatidylinositol 4-kinase activity	Biological Process
A0A1H6Q7Z4	1-phosphatidylinositol 4-kinase activator activity	Molecular Function
A0A1H6Q7Z4	negative regulation of calcium ion import across plasma membrane	Biological Process
A0A1D8N738	generation of catalytic spliceosome for second transesterification step	Biological Process
A0A1D8N738	RNA exon ligation	Biological Process
A0A1D8N738	second spliceosomal transesterification activity	Molecular Function
A0A1D8N738	RNA binding	Molecular Function
A0A1D8N738	ATP-dependent RNA helicase activity	Molecular Function
A0A1D8N738	ATP binding	Molecular Function
A0A1D8N738	cytoplasm	Cellular Component
A0A1D8N738	U2-type catalytic step 2 spliceosome	Cellular Component
A0A1D8NEN8	single-stranded DNA endodeoxyribonuclease activity	Molecular Function
A0A1D8NEN8	telomere maintenance via recombination	Biological Process
A0A1D8NEN8	double-strand break repair via homologous recombination	Biological Process
A0A1D8NEN8	"nuclear chromosome, telomeric region"	Cellular Component
A0A1D8NEN8	nuclear chromatin	Cellular Component
A0A1D8NEN8	condensed nuclear chromosome	Cellular Component
A0A1D8NEN8	double-stranded telomeric DNA binding	Molecular Function
A0A1D8NEN8	ATP-dependent DNA helicase activity	Molecular Function
A0A1D8NEN8	adenylate kinase activity	Molecular Function
